"Nom","Description synopsis","Nom Saison","Titre Épisode","Description Épisode","Durée","Épisodes Inclus","Nom Fichier Image"
"Dragon Ball GT","FAN/CUT - L'histoire commence dix ans après la fin de Dragon Ball Z, quand Son Gokû est transformé en enfant, à cause de Pilaf, par le Dragon sacré. Il doit rechercher les Dragon Balls pour redevenir normal et surtout sauver la terre qui, si les dragon balls ne sont pas réunies au bout d'un an, se désintègrera. Il part donc avec Trunks et Pan (qui s'est invitée sans leur autorisation) rechercher ces boules de cristal éparpillées dans toute la galaxie.","Film / Arc Unique","Le grand voyage","Cinq ans ont passé après que Son Goku partit entraîner Oob (réincarnation de Boo) et acheva l'entraînement chez Dendé. Mais une mystérieuse apparition… Une personne que Son Goku connaissait bien (dans Dragon Ball) : Pilaf, revient tout chambouler. Les boules de cristal aux étoiles noires étant déjà réunies chez Dendé, il a demandé au dragon rouge, sans réellement le vouloir, de rapetisser Son Goku à la même taille que lui. Un peu plus tard, Son Goku redescendit sur Terre avec sa petite taille, voyant une jeune fille combattant un bandit accompagnée de Kamé Sennin. Son Goku le reconnut et lui fit signe. Il aida Pan et découvrit que c'était sa petite-fille…","2:02:53","1 - 24","1_Dragon Ball GT_Le grand voyage.webp"
"Dragon Ball GT","FAN/CUT - L'histoire commence dix ans après la fin de Dragon Ball Z, quand Son Gokû est transformé en enfant, à cause de Pilaf, par le Dragon sacré. Il doit rechercher les Dragon Balls pour redevenir normal et surtout sauver la terre qui, si les dragon balls ne sont pas réunies au bout d'un an, se désintègrera. Il part donc avec Trunks et Pan (qui s'est invitée sans leur autorisation) rechercher ces boules de cristal éparpillées dans toute la galaxie.","Film / Arc Unique","La vengeance Tsuful !","Après avoir réussi à s'échapper de la planète Pital, Baby continue d'absorber l'énergie de personnes dans l'espace. Pendant ce temps, sur Terre, Végéta vient de raser sa moustache, et Goten est sur le point de sortir en compagnie de sa nouvelle petite amie.","1:58:43","25 - 32","1_Dragon Ball GT_La vengeance Tsuful _.webp"
"Dragon Ball GT","FAN/CUT - L'histoire commence dix ans après la fin de Dragon Ball Z, quand Son Gokû est transformé en enfant, à cause de Pilaf, par le Dragon sacré. Il doit rechercher les Dragon Balls pour redevenir normal et surtout sauver la terre qui, si les dragon balls ne sont pas réunies au bout d'un an, se désintègrera. Il part donc avec Trunks et Pan (qui s'est invitée sans leur autorisation) rechercher ces boules de cristal éparpillées dans toute la galaxie.","Film / Arc Unique","La niveau 4 !","Sangoku revient sur le champ de bataille avec sa queue de singe fraîchement extraite par les Kaioshins. Il n'a pas pu sauver de justesse Oob qui a tout donné. L'heure de la métamorphose en gorille géant pour Sangoku a commencé. Le Bébé Mutant n'en revient pas de ce changement inattendu.","1:57:09","33 - 40","1_Dragon Ball GT_La niveau 4 _.webp"
"Dragon Ball GT","FAN/CUT - L'histoire commence dix ans après la fin de Dragon Ball Z, quand Son Gokû est transformé en enfant, à cause de Pilaf, par le Dragon sacré. Il doit rechercher les Dragon Balls pour redevenir normal et surtout sauver la terre qui, si les dragon balls ne sont pas réunies au bout d'un an, se désintègrera. Il part donc avec Trunks et Pan (qui s'est invitée sans leur autorisation) rechercher ces boules de cristal éparpillées dans toute la galaxie.","Film / Arc Unique","L'enfer sur Terre !","Résumé : Après le sacrifice de Piccolo, tout revient à la normale. Porunga permet de recréer une planète Terre et nos amis revivent des jours heureux. Goku participe même à une nouvelle édition du Tenka-Ichi-Budokai, mais dans la catégorie Junior. Malgré sa supériorité, il perd en finale à cause de son étourderie ! Pendant le même tournoi, Pan décide d'abandonner pour ne pas avoir à succéder à Satan. Oob participe sous une fausse identité, et arrive en finale. Pourtant, il ne parvient pas à battre Satan, retenu par la partie de Boo qui vit en lui. Le champion reste donc le champion !","1:28:39","41 - 46","1_Dragon Ball GT_L_enfer sur Terre _.webp"
"Dragon Ball GT","FAN/CUT - L'histoire commence dix ans après la fin de Dragon Ball Z, quand Son Gokû est transformé en enfant, à cause de Pilaf, par le Dragon sacré. Il doit rechercher les Dragon Balls pour redevenir normal et surtout sauver la terre qui, si les dragon balls ne sont pas réunies au bout d'un an, se désintègrera. Il part donc avec Trunks et Pan (qui s'est invitée sans leur autorisation) rechercher ces boules de cristal éparpillées dans toute la galaxie.","Film / Arc Unique","Les dragons maléfiques !!","C18 vient pour se venger de la mort de Krilin. Sangoku en profite et bat définitivement Super C17. Les dragons balls sont utilisées. Un étrange dragon bleu maléfique aux yeux rouges apparaît.","2:31:05","47 - 64","1_Dragon Ball GT_Les dragons maléfiques __.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Shinigami Remplaçant","Death and Strawberry","Ichigo Kurosaki est un adolescent capable de voir les fantômes. Il devient un Shinigami après avoir récupéré une partie des pouvoirs de sa nouvelle amie Rukia Kuchiki.","0:52:59","1 - 3","14_Bleach_Death and Strawberry.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Shinigami Remplaçant","Memories in the rain","Chad devient le propriétaire d’une perruche maudite. D’après l'ami qui la lui confie, tous ceux qui s’en sont occupés sont morts mystérieusement. Le lendemain, lorsque Chad apporte la perruche au lycée, Rukia et Ichigo ressentent la présence d’un esprit dans la cage.","1:42:21","4 - 9","14_Bleach_Memories in the rain.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Shinigami Remplaçant","Quincy Archer hates you","Une émission de chasse aux fantômes très populaire au Japon est diffusée dans le quartier d'Ichigo et de ses amis ; il est bien le seul à ne pas aimer ce genre de show... Malgré cela, il décide d'accompagner sa famille.","1:39:00","10 - 14","14_Bleach_Quincy Archer hates you.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Shinigami Remplaçant","The Blade And Me","Blessé par la négligence d'Ichigo, Kon décide de fuguer. Malheureusement pour lui, cette escapade ne sera qu'une succession de déboires. Il se fera notamment maltraiter par des filles de la classe d'Ichigo ainsi que par Jinta et Ururu de la boutique d'Urahara.","1:49:51","15 - 20","14_Bleach_The Blade And Me.webp"
"Bleach","Kaï  / Yabaï - Kurosaki Ichigo, un étudiant de quinze ans aux cheveux orange qui aime la bagarre (comme son père) a la particularité de voir les fantômes ainsi que de pouvoir les toucher. Cela l'amène à rencontrer Kuchiki Rukia, un Shinigami (dieu de la mort) qui combat un Hollow. Le déroulement du combat amène Kuchiki à donner ses pouvoirs à Ichigo qui deviens alors lui même un Shinigami. C'est maintenant à son tour de protéger la ville des Hollows.","Soul Society","Fourteen days for conspiracy","Le groupe finit par pénétrer dans le monde de la Soul Society. Ils se retrouvent dans le Rukongai, la partie où les âmes errantes circulent. Ichigo décide de passer le portail de la voie blanche permettant d'accéder au Seireitei, la partie où vivent les Shinigamis.","1:30:47","21 - 25","14_Bleach_Fourteen days for conspiracy.webp"
